iter	Passed	Remaining
436	2189	315
437	2194	310
438	2198	305
439	2202	300
440	2207	295
441	2211	290
442	2217	285
443	2224	280
444	2229	275
445	2233	270
446	2238	265
447	2244	260
448	2248	255
449	2253	250
450	2258	245
451	2262	240
452	2268	235
453	2272	230
454	2277	225
455	2281	220
456	2285	215
457	2290	210
458	2294	204
459	2298	199
460	2303	194
461	2307	189
462	2311	184
463	2315	179
464	2319	174
465	2324	169
466	2328	164
467	2332	159
468	2336	154
469	2341	149
470	2345	144
471	2349	139
472	2354	134
473	2358	129
474	2362	124
475	2366	119
476	2371	114
477	2375	109
478	2379	104
479	2383	99
480	2387	94
481	2392	89
482	2396	84
483	2400	79
484	2404	74
485	2409	69
486	2414	64
487	2418	59
488	2422	54
489	2427	49
490	2431	44
491	2435	39
492	2439	34
493	2444	29
494	2448	24
495	2452	19
496	2456	14
497	2476	9
498	2482	4
499	2489	0
